NAME SIMBAD_NAME f_c f_c_lo f_c_hi
CQ_TAU CQ_TAU 0.8293344592922129 0.794085271948188 0.8624536984887982
DoAr_44 DoAr_44 0.6965906398693806 0.6850584113051268 0.7079904428943232
GM_AUR GM_AUR 0.7724792692437797 0.7584480786335298 0.780483159218124
HD_100453 HD_100453 0.7533345128997474 0.7478128612108604 0.7585727229861492
HD_100546 HD_100546 0.6401751072388897 0.631406535382985 0.6487329219437219
HD_135344B HD_135344_B 0.7773069620728263 0.7713539624831064 0.7826814223890504
HD_139614 HD_139614 0.5453099082841286 0.5324785622166184 0.5580614839591377
HD_142527 HD_142527 0.7840391905459546 0.7772200488483111 0.7906772366947445
HD_169142 HD_169142 0.566958377289546 0.5561579432077728 0.5772495308281219
HD_97048 HD_97048 0.7701349504110004 0.7621506182400328 0.7777650768056914
IP_TAU IP_TAU 0.676254280219402 0.6507047500099042 0.7034176560121655
LKCA_15 LKCA_15 0.6539069510973431 0.6220333269819673 0.6869874372393189
LKHA_330 LKHA_330 0.771226417506213 0.7636731483616723 0.7785277930143857
PDS_70 PDS_70 0.4295199603290861 0.3913881256557788 0.4779686585386302
RX_J1615_3-3255 RX_J1615.3-3255 0.45897929752084443 0.4442286505386801 0.47112043786842644
RY_LUP RY_LUP 0.8605226384091301 0.8287986135674965 0.8854008231479596
SZ_CHA SZ_CHA 0.7296250721180066 0.6897274874262351 0.770075764676307
UX_TAU_A HD_285846_A 0.879463814246837 0.8282359487780397 0.895291191131508
V1247_ORI V1247_ORI 0.7876384432970953 0.7808714005833264 0.7939653292850684
V1366_ORI V1366_ORI 0.8258228399274091 0.8202784665332086 0.8310485075139247
