NAME SIMBAD_NAME f_c f_c_lo f_c_hi
CQ_TAU CQ_TAU 0.9030007457842918 0.8800586521653073 0.9169359871216446
DR_TAU DR_TAU 0.8751622126984916 0.8659570661726237 0.880652267555627
DoAr_44 DoAr_44 0.6054178601383828 0.5792526068762888 0.6341434256609647
GM_AUR GM_AUR 0.7953920973127214 0.745853912712547 0.8200809742424489
HD_100546 HD_100546 0.32991097154308713 0.31555283990677074 0.34347518970567903
HD_135344B HD_135344B 0.6068305976684246 0.5934977527450006 0.6189490380603622
HD_139614 HD_139614 0.21099495134160018 0.19351790176395728 0.2317602985215361
HD_142527 HD_142527 0.6331774723272592 0.6186238482620297 0.6479910306126369
HD_169142 HD_169142 0.3359344917714574 0.32202105325002106 0.3490591581390446
HD_38120 HD_38120 0.6181742886830642 0.6038141252880798 0.631723974212944
HD_97048 HD_97048 0.5978908868226791 0.5833269058232844 0.6121554239640559
IP_TAU IP_TAU 0.7439919428674896 0.6997964473774859 0.7725963073822941
LKCA_15 LKCA_15 0.6567590428911614 0.6001556895480703 0.7047879849549263
LKHA_330 LKHA_330 0.5937890948425866 0.5771187304725143 0.6108395990169522
PDS_70 PDS_70 0.4364632824562631 0.3738597834648499 0.48808865220294073
RX_J1615_3-3255 RX_J1615.3-3255 0.4763415860984399 0.4411128530449281 0.510784375990745
RY_LUP RY_LUP 0.8446403970297809 0.8019695385076631 0.8755732775657192
SZ_CHA SZ_CHA 0.7840859029262287 0.7066390400021361 0.8510342925964632
UX_TAU_A HD_285846_A 0.46923544504106973 0.3691088736155903 0.7340264609514685
V1247_ORI V1247_ORI 0.5705154465134871 0.55377044949674 0.5859392399637126
V1366_ORI V1366_ORI 0.5948198032371703 0.5812807378784406 0.6078972513718836
