NAME SIMBAD_NAME PIXSCALE R_IN R_OUT FOV VMIN VMAX CORO
CQ_TAU CQ_TAU 0.01227 0.05 14.5 1. 1.5 10 0.0925
DoAr_44 DoAr_44 0.01227 0.05 19.5 1.2 2.8 10 0.0925
GM_AUR GM_AUR 0.01227 0.05 None 3.5 4.69 4.85 0.0925
HD_100453 HD_100453 0.0068 0.05 40. 1.2 2.5 10 0.
HD_100546 HD_100546 0.01227 0.05 None 3. 2.25 10 0.0925
HD_135344B HD_135344_B 0.01227 0.05 24.5 2.5 3.3 10 0.0925
HD_139614 HD_139614 0.01227 0.05 29 2.5 4.5 10 0.0925
HD_142527 HD_142527 0.01227 0.05 173.5 4 3.5 7.5 0.0925
HD_169142 HD_169142 0.01227 0.05 None 3 2.5 10 0.0925
HD_97048 HD_97048 0.01227 0.05 None 3.5 5. 9.5 0.0925
IP_TAU IP_TAU 0.01227 0.05 None 1 5 8 0.0925
LKCA_15 LKCA_15 0.01227 0.05 None 2 5.4 8.4 0.0925
LKHA_330 LKHA_330 0.01227 0.05 None 1 2 10 0.0925
PDS_70 PDS_70 0.01227 0.05 None 2 5 7.25 0.0925
RX_J1615_3-3255 RX_J1615.3-3255 0.01227 0.05 None 4 5.8 7.25 0.0925
RY_LUP RY_LUP 0.01227 0.05 55. 2 1.9 10 0.0925
SZ_CHA SZ_CHA 0.01227 0.05 None 2 4.3 10 0.0925
UX_TAU_A HD_285846_A 0.01227 0.05 None 1.5 4.8 10 0.0925
V1247_ORI V1247_ORI 0.01227 0.05 100 2 2 10 0.0925
V1366_ORI V1366_ORI 0.01227 0.05 86.5 3 4.8 10 0.0925
