NAME SIMBAD_NAME k_s
CQ_TAU CQ_TAU 1.4295007171757614
DoAr_44 DoAr_44 1.2346268578688524
GM_AUR GM_AUR 1.1052585523113567
HD_100453 HD_100453 1.5092526265477595
HD_100546 HD_100546 1.6342894168157125
HD_135344B HD_135344_B 1.393613834222863
HD_139614 HD_139614 1.5092526265477595
HD_142527 HD_142527 1.4120935892624988
HD_169142 HD_169142 1.47697326833392
HD_97048 HD_97048 1.6342894168157125
IP_TAU IP_TAU 0.9555941224490727
LKCA_15 LKCA_15 1.2346268578688524
LKHA_330 LKHA_330 1.333377100067699
PDS_70 PDS_70 1.0163027719204374
RX_J1615_3-3255 RX_J1615.3-3255 1.0163027719204374
RY_LUP RY_LUP 1.2346268578688524
SZ_CHA SZ_CHA 1.2346268578688524
UX_TAU_A HD_285846_A 1.2346268578688524
V1247_ORI V1247_ORI 1.4924361696837392
V1366_ORI V1366_ORI 1.6611344314650385
