NAME SIMBAD_NAME MASS e_MASS
CQ_TAU CQ_TAU 1.49 0.11
DoAr_44 DoAr_44 1.13 0.16
GM_AUR GM_AUR 0.97 0.16
HD_100453 HD_100453 1.59 0.06
HD_100546 HD_100546 2.13 0.11
HD_135344B HD_135344_B 1.56 0.11
HD_139614 HD_139614 1.57 0.06
HD_142527 HD_142527 1.75 0.1
HD_169142 HD_169142 2.11 0.14
HD_97048 HD_97048 2.36 0.19
IP_TAU IP_TAU 0.59 0.02
LKCA_15 LKCA_15 1.4 0.11
LKHA_330 LKHA_330 3.05 0.07
PDS_70 PDS_70 0.76 0.02
RX_J1615_3-3255 RX_J1615.3-3255 0.73 0.14
RY_LUP RY_LUP 1.47 0.21
SZ_CHA SZ_CHA 1.45 0.11
UX_TAU_A HD_285846_A 1.38 0.05
V1247_ORI V1247_ORI 1.88 0.14
V1366_ORI V1366_ORI 1.9 0.06
