          Name   SpType     MB15  sigM_B15     MS00  sigM_S00     MFei  sigM_Fei  
         CQ_TAU      F5     nan    0.03    1.53    0.10    1.49    0.11 
        DoAr_44      K2    1.09    0.14    1.07    0.14    1.13    0.16 
         GM_AUR      K5    1.12    0.16    1.23    0.16    0.97    0.16 
      HD_100453      A9     nan    0.00    1.60    0.05    1.59    0.06 
      HD_100546      A0     nan     nan    2.23    0.11    2.13    0.11 
     HD_135344B      F8     nan    0.03    1.52    0.08    1.56    0.11 
      HD_139614      A9     nan     nan    1.60    0.04    1.57    0.06 
      HD_142527      F6     nan     nan    1.70    0.05    1.75    0.10 
      HD_169142      F1     nan     nan     nan    0.15    2.11    0.14 
       HD_97048      A0     nan     nan    2.48    0.15    2.36    0.19 
         IP_TAU      M0    0.59    0.02    0.54    0.05    0.59    0.02 
        LKCA_15      K2    1.37    0.10    1.32    0.13    1.40    0.11 
       LKHA_330      G4     nan     nan    2.70    0.05    3.05    0.07 
         PDS_70      K7     nan     nan     nan     nan     nan     nan 
 RX_J1615_3-3255      K7    0.78    0.14    0.82    0.15    0.73    0.14 
         RY_LUP      K2    1.40    0.15    1.40    0.23    1.47    0.21 
         SZ_CHA      K2    1.40    0.09    1.37    0.14    1.45    0.11 
       UX_TAU_A      K2    1.35    0.06    1.27    0.05    1.38    0.05 
      V1247_ORI      F0     nan    0.00    1.89    0.12    1.88    0.14 
      V1366_ORI    B9.5     nan     nan     nan    0.07     nan    0.06 
