NAME SIMBAD_NAME SP_TYPE Plx e_Plx Lstar e_Lstar Teff e_Teff Reference
CQ_TAU CQ_TAU F5 6.6946 0.05999999865889549 6.172891384663543 2.117807345459646 6750 300 "Mora+2001,Vioque+2018"
DoAr_44 DoAr_44 K2 6.8343 0.022700000554323196 0.8706304157013723 0.34014399423744035 5100 150 "Manara+2014"
GM_AUR GM_AUR K5 6.3248 0.04899999871850014 1.2488049284724354 0.315719382753226 4440 150 "Manara+2014"
HD_100453 HD_100453 A9 9.6355 0.02250000089406967 6.147305910090116 1.066557090910235 7250 250 "Vieira+2003,Fairlamb+2015"
HD_100546 HD_100546 A0 9.2494 0.03750000149011612 24.160986874167417 5.989819751503242 9750 500 "Fairlamb+2015"
HD_135344B HD_135344_B F8 7.4074 0.024000000208616257 6.539063985631529 1.4930304805907257 6375 125 "Coulson+1995,Fairlamb+2015"
HD_139614 HD_139614 A9 7.484 0.0272000003606081 5.970016041825393 1.218352905876377 7750 250 "Fairlamb+2015"
HD_142527 HD_142527 F6 6.2791 0.0284000001847744 10.176285640677516 0.3628208193489633 6500 250 "Fairlamb+2015"
HD_169142 HD_169142 F1 8.7053 0.026799999177455902 20.576658597620188 8.040277617112022 10700 850 "Murphy+2015,Vioque+2018"
HD_97048 HD_97048 A0 5.4228 0.024900000542402267 36.55663553840987 20.031205078750713 10500 50 "Fairlamb+2015"
IP_TAU IP_TAU M0 7.7292 0.01720000058412552 0.07090161009956718 0.0035591852394635808 3850 100 "Herbig1986,Herczeg+2014"
LKCA_15 LKCA_15 K2 6.3619 0.026399999856948853 1.5110784916116253 0.31240739331474354 5100 150 "Manara+2014"
LKHA_330 LKHA_330 G4 3.1425 0.03449999913573265 22.806536020151828 0.6170697307541859 5680 50 "Manara+2014"
PDS_70 PDS_70 K7 8.8975 0.019099999219179153 0.35 0.09 3972 36 "Pecaut+2012,Keppler+2018,Muller+2018"
RX_J1615_3-3255 RX_J1615.3-3255 K7 6.4274 0.02410000003874302 0.6249880489348268 0.1756214246224405 4100 150 "Manara+2014"
RY_LUP RY_LUP K2 6.5153 0.06040000170469284 1.7235995202515682 0.7354184879787743 5100 150 "Gahm1989,Alcala+2017"
SZ_CHA SZ_CHA K2 5.2573 0.025800000876188278 1.650752137349055 0.3531702283504432 5100 150 "Manara+2014"
UX_TAU_A HD_285846_A K2 7.0308 0.03290000185370445 1.62435357540098 0.08198764676547247 5270 100 "Herczeg+2014"
V1247_ORI V1247_ORI F0 2.4919 0.019600000232458115 16.331879229295755 6.233471991527682 7875 375 "Fairlamb+2015"
V1366_ORI V1366_ORI B9.5 3.2403 0.023099999874830246 10.365516261957548 4.419561705572253 9500 250 "Fairlamb+2015"
