NAME SIMBAD_NAME SP_TYPE Plx e_Plx
CQ_TAU CQ_TAU F5IVe 6.6946 0.05999999865889549
DR_TAU DR_TAU K5Ve 5.1823 0.03290000185370445
DoAr_44 DoAr_44 K3e 6.8343 0.022700000554323196
GM_AUR GM_AUR K3Ve 6.3248 0.04899999871850014
HD_100453 HD_100453 A9Ve 9.6355 0.02250000089406967
HD_100546 HD_100546 A0VaekB8_lB 9.2494 0.03750000149011612
HD_135344B HD_135344B F8V 7.4074 0.024000000208616257
HD_139614 HD_139614 A9VekA5mA5(_lB) 7.484 0.0272000003606081
HD_142527 HD_142527 F6III 6.2791 0.0284000001847744
HD_169142 HD_169142 F1VekA3mA3_lB? 8.7053 0.026799999177455902
HD_97048 HD_97048 A0Vep 5.4228 0.024900000542402267
IP_TAU IP_TAU M0:Ve 7.7292 0.01720000058412552
LKCA_15 LKCA_15 K5:Ve 6.3619 0.026399999856948853
LKHA_330 LKHA_330 F7 3.1425 0.03449999913573265
PDS_70 PDS_70 K7IVe 8.8975 0.019099999219179153
RX_J1615_3-3255 RX_J1615.3-3255 K5 6.4274 0.02410000003874302
RY_LUP RY_LUP G8/K1IV-V 6.5153 0.06040000170469284
SZ_CHA SZ_CHA K0e 5.2573 0.025800000876188278
UX_TAU_A HD_285846_A K2Ve 7.0308 0.03290000185370445
V1247_ORI V1247_ORI F0V 2.4919 0.019600000232458115
V1366_ORI V1366_ORI B9.5V 3.2403 0.023099999874830246
