NAME SIMBAD_NAME UV_COMP
CQ_TAU CQ_TAU 0.050247477909904886
DoAr_44 DoAr_44 0.09232692409678711
GM_AUR GM_AUR 0.024410209746964256
HD_100453 HD_100453 0.12344055298195616
HD_100546 HD_100546 0.16968851191024306
HD_135344B HD_135344_B 0.05276360722228428
HD_139614 HD_139614 0.027395766169862192
HD_142527 HD_142527 0.04198556076477852
HD_169142 HD_169142 0.07833799620333452
HD_97048 HD_97048 0.06955032069442739
IP_TAU IP_TAU 0.023058259668670852
LKCA_15 LKCA_15 0.04307463166118154
LKHA_330 LKHA_330 0.0320337060217854
PDS_70 PDS_70 0.025048630617269474
RX_J1615_3-3255 RX_J1615.3-3255 0.025386618136842825
RY_LUP RY_LUP 0.05257583637807686
SZ_CHA SZ_CHA 0.02824073496879557
UX_TAU_A HD_285846_A 0.03379875195733512
V1247_ORI V1247_ORI 0.07908907958016419
V1366_ORI V1366_ORI 0.09001734271303588
